             2   2.53985e-05
             4   3.88872e-05
             8   4.26277e-05
            16   7.04084e-05
            32    9.4402e-05
            64   0.000127694
           128   0.000175358
           256   0.000304941
           512   0.000470525
          1024   0.000971895
          2048    0.00174621
          4096    0.00379673
          8192     0.0074032
         16384     0.0157445
         32768     0.0394992
         65536     0.0835252
        131072      0.113886
        262144      0.333234
        524288      0.504633
       1048576       1.10699
       2097152        1.9674
       4194304       3.91315
